Color,Style,Pattern Type,Type,Fabric,Material,Composition,Care Instructions,rating,price,category,Polyester,Elastane,Viscose,Spandex,Cotton,Metallized Fibres,Polyamide,Rayon,Silk,Nylon,Cashmere,Linen,Polyurethane
Black ,Elegant ,Plain ,Tunic ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0.0,49.0,dresses,95.0,5.0,,,,,,,,,,,
Black ,Elegant ,Plain ,Bodycon ,High Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0.0,49.0,dresses,95.0,5.0,,,,,,,,,,,
Hot Pink ,Party ,Plain ,A Line ,Non-Stretch ,Satin ,100% Polyester ,Machine wash or professional dry clean ,5.0,29.0,dresses,100.0,,,,,,,,,,,,
Red Violet ,Party ,Plain ,Cami ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.95,189.0,dresses,100.0,,,,,,,,,,,,
Multicolor ,Casual ,Plaid ,Shirt ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.87,47.0,dresses,100.0,,,,,,,,,,,,
White ,Party ,Plain ,Fitted ,Slight Stretch ,Fabric ,"95% Polyester, 5% Spandex ",Machine wash or professional dry clean ,4.89,159.0,dresses,95.0,,,5.0,,,,,,,,,
Multicolor ,Casual ,Plaid ,A Line ,Slight Stretch ,Knitted Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.95,39.0,dresses,97.0,3.0,,,,,,,,,,,
Black ,Sexy ,Plain ,Cami ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.78,39.0,dresses,95.0,5.0,,,,,,,,,,,
Black ,Party ,Plain ,Fitted ,Medium Stretch ,Flannelette ,"95% Polyester, 5% Spandex ",Hand wash or professional dry clean ,4.94,159.0,dresses,95.0,,,5.0,,,,,,,,,
Black ,Boho ,Ditsy Floral ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.95,39.0,dresses,100.0,,,,,,,,,,,,
Black ,Elegant ,Plain ,Bodycon ,Slight Stretch ,Fabric ,"94% Viscose, 6% Elastane ",Machine wash or professional dry clean ,4.89,49.0,dresses,,6.0,94.0,,,,,,,,,,
Black ,Party ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,"80% Viscose, 20% Polyester ",Machine wash or professional dry clean ,4.85,89.0,dresses,20.0,,80.0,,,,,,,,,,
Black ,Elegant ,Plain ,Bodycon ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.92,49.0,dresses,95.0,5.0,,,,,,,,,,,
Black ,Sexy ,Plain ,Cami ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.29,59.0,dresses,100.0,,,,,,,,,,,,
Black ,Elegant ,Plain ,Bodycon ,Slight Stretch ,Fabric ,"67% Polyester, 30% Viscose, 3% Elastane ",Machine wash or professional dry clean ,4.87,59.0,dresses,67.0,3.0,30.0,,,,,,,,,,
Blue ,Party ,Plain ,A Line ,Medium Stretch ,Knitted Fabric ,100% Polyester ,"Machine wash, do not dry clean ",5.0,49.0,dresses,100.0,,,,,,,,,,,,
White ,Boho ,Floral ,A Line ,Non-Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean,wash with the soft detergent ",5.0,79.0,dresses,95.0,5.0,,,,,,,,,,,
Black and White ,Casual ,Animal ,Bodycon ,Slight Stretch ,Flannelette ,100% Polyester ,Hand wash or professional dry clean ,4.86,49.0,dresses,100.0,,,,,,,,,,,,
White ,Sexy ,Plain ,Cami ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.89,49.0,dresses,95.0,5.0,,,,,,,,,,,
Multicolor ,Casual ,All Over Print ,A Line ,Slight Stretch ,Knitted Fabric ,"99% Polyester, 1% Elastane ",Machine wash or professional dry clean ,4.97,59.0,dresses,99.0,1.0,,,,,,,,,,,
Black ,Party ,Plain ,Bodycon ,Slight Stretch ,Flannelette ,100% Polyester ,Machine wash or professional dry clean ,4.94,49.0,dresses,100.0,,,,,,,,,,,,
Black ,Elegant ,Plain ,Fitted ,Non-Stretch ,Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.5,79.0,dresses,97.0,3.0,,,,,,,,,,,
White ,Boho ,Floral ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",0.0,79.0,dresses,100.0,,,,,,,,,,,,
Black ,Elegant ,Floral ,Bodycon ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean,wash with the soft detergent ",5.0,89.0,dresses,95.0,5.0,,,,,,,,,,,
Apricot ,Boho ,Ditsy Floral ,A Line ,Non-Stretch ,Fabric ,"97% Polyester, 3% Spandex ",Machine wash or professional dry clean ,4.88,59.0,dresses,97.0,,,3.0,,,,,,,,,
Violet Purple ,Party ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.94,89.0,dresses,100.0,,,,,,,,,,,,
Black ,Elegant ,Plain ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,"Hand wash,do not dry clean ",4.9,139.0,dresses,100.0,,,,,,,,,,,,
Dark Green ,Party ,Plain ,Bodycon ,Slight Stretch ,Satin ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.95,47.0,dresses,95.0,5.0,,,,,,,,,,,
Red Violet ,Casual ,Plain ,Fitted ,High Stretch ,Fabric ,"72% Polyester, 28% Viscose ",Machine wash or professional dry clean ,0.0,29.0,dresses,72.0,,28.0,,,,,,,,,,
Multicolor ,Boho ,Floral ,A Line ,Medium Stretch ,Knitted Fabric ,100% Polyester ,"Machine wash, do not dry clean,wash with the soft detergent ",0.0,49.0,dresses,100.0,,,,,,,,,,,,
White ,Elegant ,Plain ,Cami ,Slight Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",0.0,119.0,dresses,100.0,,,,,,,,,,,,
Royal Blue ,Party ,Plain ,Cami ,Non-Stretch ,Satin ,100% Polyester ,Machine wash or professional dry clean ,4.81,49.0,dresses,100.0,,,,,,,,,,,,
Black and White ,Casual ,"Striped, Letter ",Tee ,Slight Stretch ,Knitted Fabric ,"88% Polyester, 10% Viscose, 2% Elastane ",Machine wash or professional dry clean ,5.0,39.0,dresses,88.0,2.0,10.0,,,,,,,,,,
Light Grey ,Casual ,Plain ,Bodycon ,High Stretch ,Fabric ,"96% Polyester, 4% Elastane ",Machine wash or professional dry clean ,5.0,29.0,dresses,96.0,4.0,,,,,,,,,,,
Apricot ,Casual ,All Over Print ,Shirt ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,49.0,dresses,100.0,,,,,,,,,,,,
Khaki ,Casual ,Plain ,Tee ,High Stretch ,Rib knit ,"60% Polyester, 35% Viscose, 5% Elastane ",Machine wash or professional dry clean ,5.0,59.0,dresses,60.0,5.0,35.0,,,,,,,,,,
Black ,Boho ,"Floral, All Over Print ",Shirt ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,49.0,dresses,100.0,,,,,,,,,,,,
Navy Blue ,Party ,Plain ,A Line ,Non-Stretch ,Sequins ,100% Polyester ,"Hand wash,do not dry clean ",5.0,179.0,dresses,100.0,,,,,,,,,,,,
Black ,Elegant ,Plain ,Bodycon ,Slight Stretch ,Mesh Fabric ,"94% Polyamide, 6% Elastane ",Machine wash or professional dry clean ,4.93,49.0,dresses,,6.0,,,,,94.0,,,,,,
Navy Blue ,Casual ,Plain ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",0.0,59.0,dresses,100.0,,,,,,,,,,,,
Purple ,Elegant ,Plain ,Fitted ,Non-Stretch ,Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.67,59.0,dresses,97.0,3.0,,,,,,,,,,,
Redwood ,Casual ,Plain ,Shirt ,Non-Stretch ,Woven Fabric ,"90% Polyester, 10% Polyamide ",Machine wash or professional dry clean ,5.0,69.0,dresses,90.0,,,,,,10.0,,,,,,
Light Grey ,Casual ,Plain ,Tee ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.89,49.0,dresses,95.0,5.0,,,,,,,,,,,
Mint Green ,Party ,Plain ,A Line ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ","Hand wash,do not dry clean ",5.0,109.0,dresses,95.0,5.0,,,,,,,,,,,
Light Grey ,Elegant ,Plain ,A Line ,Slight Stretch ,Knitted Fabric ,"96% Polyester, 4% Elastane ",Machine wash or professional dry clean ,4.83,29.0,dresses,96.0,4.0,,,,,,,,,,,
Baby Blue ,Casual ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.89,59.0,dresses,100.0,,,,,,,,,,,,
White ,Elegant ,Plain ,Shirt ,Medium Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.83,69.0,dresses,100.0,,,,,,,,,,,,
Dusty Pink ,Party ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.9,99.0,dresses,100.0,,,,,,,,,,,,
Blue and White ,Boho ,All Over Print ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.91,49.0,dresses,100.0,,,,,,,,,,,,
Navy Blue ,Party ,Plain ,A Line ,Medium Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Hand wash or professional dry clean ,5.0,79.0,dresses,95.0,5.0,,,,,,,,,,,
Burnt Orange ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Hand wash or professional dry clean ,4.93,69.0,dresses,100.0,,,,,,,,,,,,
Multicolor ,Casual ,Chevron ,A Line ,Non-Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0.0,69.0,dresses,95.0,5.0,,,,,,,,,,,
White ,Sexy ,Plain ,Cami ,Slight Stretch ,Satin ,"90% Polyester, 10% Elastane ",Hand wash or professional dry clean ,5.0,39.0,dresses,90.0,10.0,,,,,,,,,,,
Navy Blue ,Party ,Plain ,A Line ,Slight Stretch ,Sequins ,"95% Polyester, 5% Spandex ","Hand wash,do not dry clean ",5.0,219.0,dresses,95.0,,,5.0,,,,,,,,,
Black ,Sexy ,Plain ,Fitted ,High Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.94,39.0,dresses,95.0,5.0,,,,,,,,,,,
Baby Pink ,Elegant ,Plain ,Shirt ,Non-Stretch ,Satin ,100% Polyester ,Machine wash or professional dry clean ,5.0,119.0,dresses,100.0,,,,,,,,,,,,
Black ,Elegant ,Polka Dot ,Bodycon ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Spandex ",Machine wash or professional dry clean ,4.97,39.0,dresses,95.0,,,5.0,,,,,,,,,
Dark Green ,Elegant ,Plain ,Fitted ,Non-Stretch ,Satin ,"96% Polyester, 4% Elastane ",Machine wash or professional dry clean ,4.91,63.0,dresses,96.0,4.0,,,,,,,,,,,
White ,Elegant ,Plain ,Fit and Flare ,High Stretch ,Satin ,"92% Polyester, 8% Elastane ","Hand wash,do not dry clean ",4.63,99.0,dresses,92.0,8.0,,,,,,,,,,,
Black ,Sexy ,Plain ,Bodycon ,High Stretch ,Fabric ,100% Nylon ,Machine wash or professional dry clean ,4.94,89.0,dresses,,,,,,,,,,100.0,,,
Dark Green ,Sexy ,Plain ,Fitted ,Medium Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.95,39.0,dresses,95.0,5.0,,,,,,,,,,,
Purple ,Elegant ,Plain ,A Line ,Non-Stretch ,Satin ,100% Polyester ,Machine wash or professional dry clean ,5.0,119.0,dresses,100.0,,,,,,,,,,,,
Multicolor ,Casual ,Plaid ,A Line ,Slight Stretch ,Fabric ,"97% Polyester, 3% Elastane ","Hand wash,do not dry clean ",4.93,39.0,dresses,97.0,3.0,,,,,,,,,,,
Silver ,Party ,Plain ,Tunic ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,89.0,dresses,100.0,,,,,,,,,,,,
Multicolor ,Casual ,Plaid ,Shirt ,Non-Stretch ,Fabric ,100% Polyester ,Hand wash or professional dry clean ,4.87,69.0,dresses,100.0,,,,,,,,,,,,
Burgundy ,Casual ,Plain ,Fitted ,Slight Stretch ,Knitted Fabric ,"93% Polyester, 7% Elastane ",Machine wash or professional dry clean ,4.82,39.0,dresses,93.0,7.0,,,,,,,,,,,
Light Grey ,Elegant ,Plain ,Bodycon ,Slight Stretch ,Knitted Fabric ,"68% Polyester, 28% Viscose, 4% Elastane ",Machine wash or professional dry clean ,4.93,49.0,dresses,68.0,4.0,28.0,,,,,,,,,,
Black ,Sexy ,Plain ,Bodycon ,High Stretch ,PU Leather ,100% Polyester ,Hand wash or professional dry clean ,0.0,39.0,dresses,100.0,,,,,,,,,,,,
Mint Green ,Elegant ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,"85% Viscose, 15% Polyamide ",Machine wash or professional dry clean ,0.0,99.0,dresses,,,85.0,,,,15.0,,,,,,
Multicolor ,Elegant ,"Geometric, All Over Print ",Shirt ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,49.0,dresses,100.0,,,,,,,,,,,,
Purple ,Casual ,All Over Print ,Fitted ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.85,69.0,dresses,100.0,,,,,,,,,,,,
Khaki ,Casual ,Plain ,Fitted ,High Stretch ,Fabric ,"68% Polyester, 28% Viscose, 4% Spandex ",Machine wash or professional dry clean ,5.0,89.0,dresses,68.0,,28.0,4.0,,,,,,,,,
Black ,Elegant ,Plain ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",0.0,89.0,dresses,100.0,,,,,,,,,,,,
Black ,Party ,Plain ,Bodycon ,Slight Stretch ,Metallic ,"80% Polyamide, 15% Metallized Fibres, 5% Elastane ","Hand wash,do not dry clean ",5.0,49.0,dresses,,5.0,,,,15.0,80.0,,,,,,
Black ,Elegant ,Colorblock ,Fitted ,Medium Stretch ,Fabric ,"95% Polyamide, 5% Elastane ",Machine wash or professional dry clean ,4.89,69.0,dresses,,5.0,,,,,95.0,,,,,,
Multicolor ,Casual ,Plaid ,Shirt ,Non-Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",5.0,69.0,dresses,100.0,,,,,,,,,,,,
Mint Green ,Elegant ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,79.0,dresses,100.0,,,,,,,,,,,,
Black ,Casual ,Plain ,Tee ,Medium Stretch ,Fabric ,"65% Polyester, 35% Viscose ","Machine wash, do not dry clean ",4.88,39.0,dresses,65.0,,35.0,,,,,,,,,,
Black ,Casual ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",0.0,49.0,dresses,100.0,,,,,,,,,,,,
Black and White ,Sexy ,"Figure, All Over Print ",Bodycon ,High Stretch ,Knitted Fabric ,"95% Polyester, 5% Spandex ",Hand wash or professional dry clean ,4.78,39.0,dresses,95.0,,,5.0,,,,,,,,,
Black ,Elegant ,Plain ,Bodycon ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,59.0,dresses,100.0,,,,,,,,,,,,
Mocha Brown ,Boho ,Ditsy Floral ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,39.0,dresses,100.0,,,,,,,,,,,,
Black ,Elegant ,Colorblock ,Tee ,Slight Stretch ,Knitted Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,59.0,dresses,100.0,,,,,,,,,,,,
Black ,Casual ,Plain ,Fitted ,Slight Stretch ,Fabric ,"67% Polyester, 30% Viscose, 3% Elastane ",Machine wash or professional dry clean ,4.84,39.0,dresses,67.0,3.0,30.0,,,,,,,,,,
Mint Green ,Boho ,Plain ,A Line ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0.0,79.0,dresses,95.0,5.0,,,,,,,,,,,
Multicolor ,Casual ,Geometric ,Tunic ,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.89,39.0,dresses,95.0,5.0,,,,,,,,,,,
Army Green ,Casual ,Plain ,Shirt ,Non-Stretch ,Woven Fabric ,100% Viscose ,Machine wash or professional dry clean ,0.0,69.0,dresses,,,100.0,,,,,,,,,,
Brown ,Casual ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,49.0,dresses,100.0,,,,,,,,,,,,
Burgundy ,Party ,Plain ,A Line ,Non-Stretch ,Satin ,100% Polyester ,"Hand wash,do not dry clean ",4.97,179.0,dresses,100.0,,,,,,,,,,,,
Blue and White ,Boho ,Plants ,Shirt ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.9,39.0,dresses,100.0,,,,,,,,,,,,
Black ,Elegant ,Plain ,Tunic ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.83,49.0,dresses,95.0,5.0,,,,,,,,,,,
Brown ,Casual ,Plain ,Tunic ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.84,39.0,dresses,100.0,,,,,,,,,,,,
Grey ,Elegant ,Plain ,Shirt ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.7,69.0,dresses,100.0,,,,,,,,,,,,
Multicolor ,Boho ,Ditsy Floral ,Cami ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.91,39.0,dresses,100.0,,,,,,,,,,,,
Multicolor ,Casual ,"Colorblock, Graphic ",A Line ,Medium Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.9,39.0,dresses,100.0,,,,,,,,,,,,
Rusty Rose ,Elegant ,Plain ,Fitted ,High Stretch ,Fabric ,"90% Polyester, 10% Spandex ",Machine wash or professional dry clean ,4.9,69.0,dresses,90.0,,,10.0,,,,,,,,,
Green ,Sexy ,Plain ,Cami ,Slight Stretch ,Fabric ,"93% Polyester, 7% Elastane ",Machine wash or professional dry clean ,4.9,39.0,dresses,93.0,7.0,,,,,,,,,,,
Black ,Casual ,Plain ,Shirt ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,79.0,dresses,100.0,,,,,,,,,,,,
Burgundy ,Boho ,Ditsy Floral ,A Line ,Non-Stretch ,Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.92,39.0,dresses,97.0,3.0,,,,,,,,,,,
Black ,Sexy ,Plain ,Bodycon ,Medium Stretch ,Knitted Fabric ,"90% Polyester, 10% Elastane ",Machine wash or professional dry clean ,0.0,49.0,dresses,90.0,10.0,,,,,,,,,,,
Multicolor ,Elegant ,Floral ,A Line ,Medium Stretch ,Knitted Fabric ,"94% Polyester, 6% Elastane ","Machine wash, do not dry clean,wash with the soft detergent ",4.89,39.0,dresses,94.0,6.0,,,,,,,,,,,
Burgundy ,Party ,Plain ,Cami ,Slight Stretch ,Satin ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.93,55.0,dresses,97.0,3.0,,,,,,,,,,,
Hot Pink ,Boho ,Plain ,Cami ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.93,39.0,dresses,100.0,,,,,,,,,,,,
White ,Casual ,Letter ,Bodycon ,Slight Stretch ,Flannelette ,100% Polyester ,Hand wash or professional dry clean ,4.95,39.0,dresses,100.0,,,,,,,,,,,,
Red ,Casual ,All Over Print ,Smock ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.89,79.0,dresses,100.0,,,,,,,,,,,,
Dusty Pink ,Casual ,Plain ,Tank ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.96,29.0,dresses,95.0,5.0,,,,,,,,,,,
Black ,Sexy ,Plain ,Bodycon ,Medium Stretch ,Fabric ,"90% Polyester, 10% Elastane ",Machine wash or professional dry clean ,4.92,39.0,dresses,90.0,10.0,,,,,,,,,,,
Black ,Boho ,Ditsy Floral ,Cami ,Non-Stretch ,Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.93,49.0,dresses,97.0,3.0,,,,,,,,,,,
Blue and White ,Boho ,Ditsy Floral ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.9,39.0,dresses,100.0,,,,,,,,,,,,
Apricot ,Casual ,Plain ,Tee ,Slight Stretch ,Fabric ,"60% Polyester, 35% Rayon, 5% Elastane ","Hand wash,do not dry clean ",0.0,49.0,dresses,60.0,5.0,,,,,,35.0,,,,,
Camel ,Casual ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.9,69.0,dresses,100.0,,,,,,,,,,,,
Black ,Elegant ,"Plants, All Over Print ",A Line ,Non-Stretch ,Fabric ,"65% Cotton, 35% Polyester ",Machine wash or professional dry clean ,4.94,89.0,dresses,35.0,,,,65.0,,,,,,,,
Coffee Brown ,Sexy ,Plain ,Fitted ,High Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.92,59.0,dresses,95.0,5.0,,,,,,,,,,,
Mocha Brown ,Casual ,Plain ,Fitted ,Medium Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.93,59.0,dresses,95.0,5.0,,,,,,,,,,,
Multicolor ,Casual ,"Paisley, Chain Print ",Shirt ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,39.0,dresses,100.0,,,,,,,,,,,,
Black ,Elegant ,Plain ,Bodycon ,Slight Stretch ,Knitted Fabric ,"94% Polyester, 6% Elastane ",Hand wash or professional dry clean ,5.0,71.0,dresses,94.0,6.0,,,,,,,,,,,
Black ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,"Hand wash,do not dry clean ",5.0,89.0,dresses,100.0,,,,,,,,,,,,
Grey ,Elegant ,Plain ,Cami ,Slight Stretch ,Fabric ,"94% Viscose, 6% Elastane ",Machine wash or professional dry clean ,4.93,39.0,dresses,,6.0,94.0,,,,,,,,,,
Army Green ,Casual ,All Over Print ,A Line ,Slight Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean,wash with the soft detergent ",4.78,69.0,dresses,95.0,5.0,,,,,,,,,,,
Navy Blue ,Boho ,Ditsy Floral ,A Line ,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.86,39.0,dresses,95.0,5.0,,,,,,,,,,,
Navy Blue ,Boho ,Floral ,A Line ,Non-Stretch ,Fabric ,"97% Polyester, 3% Spandex ",Machine wash or professional dry clean ,4.96,69.0,dresses,97.0,,,3.0,,,,,,,,,
Pink ,Casual ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,69.0,dresses,100.0,,,,,,,,,,,,
Black ,Elegant ,Graphic ,Tunic ,Non-Stretch ,Woven Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.93,39.0,dresses,97.0,3.0,,,,,,,,,,,
Green ,Boho ,All Over Print ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,"Machine wash, do not dry clean ",4.97,69.0,dresses,100.0,,,,,,,,,,,,
Multicolor ,Boho ,Ditsy Floral ,A Line ,Non-Stretch ,Fabric ,100% Cotton ,Machine wash or professional dry clean ,4.7,39.0,dresses,,,,,100.0,,,,,,,,
Apricot ,Casual ,Plain ,Bodycon ,High Stretch ,Fabric ,"60% Polyester, 35% Viscose, 5% Elastane ",Machine wash or professional dry clean ,5.0,39.0,dresses,60.0,5.0,35.0,,,,,,,,,,
Black ,Party ,Plain ,Bodycon ,Medium Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.94,39.0,dresses,95.0,5.0,,,,,,,,,,,
Multicolor ,Boho ,Floral ,Smock ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.78,39.0,dresses,100.0,,,,,,,,,,,,
Teal Blue ,Party ,Plain ,Cami ,Medium Stretch ,Fabric ,"92% Polyester, 8% Elastane ","Hand wash,do not dry clean ",4.93,149.0,dresses,92.0,8.0,,,,,,,,,,,
Multicolor ,Casual ,All Over Print ,Fitted ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.87,39.0,dresses,100.0,,,,,,,,,,,,
White ,Party ,Plain ,Fit and Flare ,Non-Stretch ,Mesh Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.9,119.0,dresses,100.0,,,,,,,,,,,,
Black ,Elegant ,Plain ,Cami ,Non-Stretch ,Woven Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.75,39.0,dresses,97.0,3.0,,,,,,,,,,,
Baby Pink ,Boho ,"Floral, All Over Print ",A Line ,Non-Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,5.0,79.0,dresses,95.0,5.0,,,,,,,,,,,
Dusty Pink ,Casual ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Hand wash or professional dry clean ,0.0,59.0,dresses,100.0,,,,,,,,,,,,
Black ,Party ,Plain ,Fitted ,Slight Stretch ,Fabric ,"95% Polyester, 5% Spandex ",Machine wash or professional dry clean ,4.92,169.0,dresses,95.0,,,5.0,,,,,,,,,
White ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Cotton ,Machine wash or professional dry clean ,4.92,89.0,dresses,,,,,100.0,,,,,,,,
Red ,Casual ,"Striped, Letter ",Tee ,Medium Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",4.94,39.0,dresses,100.0,,,,,,,,,,,,
Green ,Casual ,Ditsy Floral ,A Line ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Hand wash or professional dry clean ,4.98,39.0,dresses,95.0,5.0,,,,,,,,,,,
Black ,Casual ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,59.0,dresses,100.0,,,,,,,,,,,,
Blue and White ,Boho ,"Floral, All Over Print ",A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.79,39.0,dresses,100.0,,,,,,,,,,,,
Black ,Sexy ,Plain ,Cami ,Non-Stretch ,Chiffon ,100% Polyester ,Hand wash or professional dry clean ,0.0,59.0,dresses,100.0,,,,,,,,,,,,
Multicolor ,Casual ,Leopard Print ,Tunic ,Slight Stretch ,Knitted Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.97,39.0,dresses,97.0,3.0,,,,,,,,,,,
Blue ,Elegant ,Plain ,Bodycon ,Medium Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.75,49.0,dresses,95.0,5.0,,,,,,,,,,,
Multicolor ,Casual ,Chevron ,Tee ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.97,39.0,dresses,95.0,5.0,,,,,,,,,,,
