Color,Style,Pattern Type,Type,Fabric,Material,Composition,Care Instructions,rating,price,category,Polyester,Elastane,Viscose,Spandex,Cotton,Metallized Fibres,Polyamide,Rayon,Silk,Nylon,Cashmere,Linen,Polyurethane
Dark Green ,Elegant ,Plain ,A Line ,Slight Stretch ,Fabric ,"95% Polyester, 5% Spandex ","Hand wash,do not dry clean ",5.0,169.0,dresses,95.0,,,5.0,,,,,,,,,
Black ,Sexy ,Plain ,Cami ,Slight Stretch ,Fabric ,"95.7% Polyester, 4.3% Elastane ",Machine wash or professional dry clean ,5.0,169.0,dresses,95.7,4.3,,,,,,,,,,,
Baby Blue ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,"98% Polyester, 2% Elastane ",Machine wash or professional dry clean ,4.97,89.0,dresses,98.0,2.0,,,,,,,,,,,
Multicolor ,Elegant ,All Over Print ,Shirt ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,39.0,dresses,100.0,,,,,,,,,,,,
Grey ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.89,69.0,dresses,100.0,,,,,,,,,,,,
Black and White ,Elegant ,Houndstooth ,A Line ,Slight Stretch ,Knitted Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.88,49.0,dresses,97.0,3.0,,,,,,,,,,,
Purple ,Casual ,Plain ,Tunic ,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.91,89.0,dresses,95.0,5.0,,,,,,,,,,,
Blue ,Boho ,Ditsy Floral ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.85,49.0,dresses,100.0,,,,,,,,,,,,
Champagne ,Party ,Plain ,Fitted ,Slight Stretch ,Sequins ,100% Polyester ,"Hand wash,do not dry clean ",0.0,119.0,dresses,100.0,,,,,,,,,,,,
Baby Blue ,Elegant ,Plain ,Cami ,Slight Stretch ,Fabric ,"62% Polyester, 34% Cotton, 4% Elastane ",Machine wash or professional dry clean ,4.86,39.0,dresses,62.0,4.0,,,34.0,,,,,,,,
Black ,Elegant ,Plain ,Fitted ,High Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean ",4.97,89.0,dresses,95.0,5.0,,,,,,,,,,,
Mocha Brown ,Elegant ,Plain ,A Line ,Slight Stretch ,Fabric ,"60% Polyester, 35% Viscose, 5% Elastane ",Machine wash or professional dry clean ,4.89,49.0,dresses,60.0,5.0,35.0,,,,,,,,,,
Black ,Elegant ,All Over Print ,Fitted ,Slight Stretch ,Metallic ,"86% Polyester, 8% Elastane, 6% Metallized Fibres ",Machine wash or professional dry clean ,4.92,89.0,dresses,86.0,8.0,,,,6.0,,,,,,,
Black ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.92,89.0,dresses,100.0,,,,,,,,,,,,
Brown ,Elegant ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.92,79.0,dresses,100.0,,,,,,,,,,,,
Black ,Casual ,Plain ,Cami ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.85,49.0,dresses,100.0,,,,,,,,,,,,
Black and White ,Elegant ,Zebra Stripe ,A Line ,Non-Stretch ,Woven Fabric ,"95% Polyester, 5% Spandex ",Machine wash or professional dry clean ,4.93,69.0,dresses,95.0,,,5.0,,,,,,,,,
Black ,Elegant ,Plain ,Bodycon ,High Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.87,39.0,dresses,95.0,5.0,,,,,,,,,,,
Coral Pink ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Hand wash or professional dry clean ,4.98,139.0,dresses,100.0,,,,,,,,,,,,
Black ,Casual ,Plain ,Cami ,Slight Stretch ,Fabric ,100% Viscose ,Machine wash or professional dry clean ,4.88,29.0,dresses,,,100.0,,,,,,,,,,
Army Green ,Elegant ,Letter ,A Line ,Medium Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,5.0,69.0,dresses,95.0,5.0,,,,,,,,,,,
Black ,Sexy ,Heart ,A Line ,Non-Stretch ,Mesh Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,79.0,dresses,100.0,,,,,,,,,,,,
Black ,Elegant ,Plain ,Fitted ,Non-Stretch ,Tweed ,100% Polyester ,Machine wash or professional dry clean ,4.87,69.0,dresses,100.0,,,,,,,,,,,,
Multicolor ,Boho ,"Floral, All Over Print ",A Line ,Non-Stretch ,Woven Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,5.0,69.0,dresses,97.0,3.0,,,,,,,,,,,
Khaki ,Elegant ,Floral ,A Line ,Non-Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.7,79.0,dresses,95.0,5.0,,,,,,,,,,,
Black ,Elegant ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.89,79.0,dresses,100.0,,,,,,,,,,,,
Khaki ,Casual ,Plain ,A Line ,Medium Stretch ,Fabric ,"64% Polyester, 33% Cotton, 3% Elastane ",Machine wash or professional dry clean ,4.69,49.0,dresses,64.0,3.0,,,33.0,,,,,,,,
