Color:,Style:,Pattern Type:,Type:,Fabric:,Material:,Composition:,Care Instructions:,rating,price
Black ,Elegant ,Plain ,Fitted ,High Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean ",4.97,₪89.00
Mocha Brown ,Elegant ,Plain ,A Line ,Slight Stretch ,Fabric ,"60% Polyester, 35% Viscose, 5% Elastane ",Machine wash or professional dry clean ,4.89,₪49.00
Black ,Elegant ,All Over Print ,Fitted ,Slight Stretch ,Metallic ,"86% Polyester, 8% Elastane, 6% Metallized Fibres ",Machine wash or professional dry clean ,4.92,₪89.00
Black ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.92,₪89.00
Brown ,Elegant ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.92,₪79.00
Black ,Casual ,Plain ,Cami ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.85,₪49.00
Black and White ,Elegant ,Zebra Stripe ,A Line ,Non-Stretch ,Woven Fabric ,"95% Polyester, 5% Spandex ",Machine wash or professional dry clean ,4.93,₪69.00
Black ,Elegant ,Plain ,Bodycon ,High Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.87,₪39.00
Coral Pink ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Hand wash or professional dry clean ,4.98,₪139.00
Black ,Casual ,Plain ,Cami ,Slight Stretch ,Fabric ,100% Viscose ,Machine wash or professional dry clean ,4.88,₪29.00
Army Green ,Elegant ,Letter ,A Line ,Medium Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,5.0,₪69.00
Black ,Sexy ,Heart ,A Line ,Non-Stretch ,Mesh Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,₪79.00
Chocolate Brown ,Elegant ,Plain ,Shirt ,,Satin ,,,5.0,₪129.00
Black ,Elegant ,Plain ,Fitted ,Non-Stretch ,Tweed ,100% Polyester ,Machine wash or professional dry clean ,4.87,₪69.00
Multicolor ,Boho ,"Floral, All Over Print ",A Line ,Non-Stretch ,Woven Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,5.0,₪69.00
Khaki ,Elegant ,Floral ,A Line ,Non-Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.7,₪79.00
Black ,Elegant ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.89,₪79.00
Khaki ,Casual ,Plain ,A Line ,Medium Stretch ,Fabric ,"64% Polyester, 33% Cotton, 3% Elastane ",Machine wash or professional dry clean ,4.69,₪49.00
Black ,Party ,Plain ,A Line ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ","Hand wash,do not dry clean ",4.92,₪219.00
