Color:,Style:,Pattern Type:,Type:,Fabric:,Material:,Composition:,Care Instructions:,rating,price
Black ,Casual ,Ditsy Floral ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.00,₪49.00
Black ,Party ,Plain ,Bodycon ,Medium Stretch ,Fabric ,100% Polyester ,Hand wash or professional dry clean ,4.77,₪99.00
Teal Blue ,Party ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.90,₪129.00
Navy Blue ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.00,₪79.00
Dark Green ,Casual ,Colorblock ,A Line ,Non-Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.54,₪59.00
Multicolor ,Elegant ,Plaid ,A Line ,Non-Stretch ,Fabric ,"69% Polyester, 29% Cotton, 2% Viscose ",Machine wash or professional dry clean ,4.94,₪99.00
Mint Green ,Elegant ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.00,₪79.00
Black ,Elegant ,Plain ,A Line ,High Stretch ,PU Leather ,"95% Polyester, 5% Elastane ",Hand wash or professional dry clean ,4.93,₪49.00
Multicolor ,Casual ,Plaid ,Shirt ,Non-Stretch ,Fabric ,"69% Polyester, 29% Cotton, 2% Viscose ",Machine wash or professional dry clean ,4.92,₪89.00
Grey ,Elegant ,Plain ,Fitted ,Slight Stretch ,Knitted Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.81,₪49.00
Black ,Casual ,Plain ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,Hand wash or professional dry clean ,4.85,₪39.00
White ,Party ,Plain ,Bodycon ,Medium Stretch ,Fabric ,"95% Polyester, 5% Elastane ","Hand wash,do not dry clean ",4.94,₪109.00
Multicolor ,Casual ,Striped ,A Line ,Slight Stretch ,Fabric ,"65% Polyester, 30% Viscose, 5% Spandex ",Machine wash or professional dry clean ,4.93,₪89.00
Black and White ,Casual ,Houndstooth ,Fitted ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.97,₪89.00
Mocha Brown ,Elegant ,Plain ,A Line ,Slight Stretch ,Fabric ,"60% Polyester, 35% Viscose, 5% Elastane ",Machine wash or professional dry clean ,4.89,₪49.00
Black ,Elegant ,Plaid ,Fitted ,Slight Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.97,₪39.00
Dusty Pink ,Party ,Plain ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.91,₪79.00
Black ,Casual ,Plain ,Smock ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.86,₪79.00
Burgundy ,Casual ,Plain ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.88,₪39.00
Black and White ,Casual ,All Over Print ,Shirt ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.92,₪59.00
Multicolor ,Boho ,Paisley ,Smock ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.87,₪49.00
Teal Blue ,Casual ,Plain ,Bodycon ,Slight Stretch ,Fabric ,"67% Polyester, 30% Viscose, 3% Elastane ",Machine wash or professional dry clean ,4.88,₪39.00
Khaki ,Casual ,Plain ,A Line ,High Stretch ,Fabric ,"60% Polyester, 35% Viscose, 5% Spandex ",Machine wash or professional dry clean ,5.00,₪49.00
Black ,Party ,Colorblock ,Fitted ,Slight Stretch ,Fabric ,100% Polyester ,Hand wash or professional dry clean ,4.86,₪59.00
Red ,Casual ,Plain ,Smock ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.70,₪49.00
Cadet Blue ,Elegant ,Plain ,Fitted ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.83,₪59.00
Dusty Pink ,Casual ,Plain ,Tee ,High Stretch ,Knitted Fabric ,"60% Polyester, 35% Viscose, 5% Elastane ",Machine wash or professional dry clean ,4.85,₪39.00
Dark Green ,Party ,Plain ,Bodycon ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.90,₪129.00
Burgundy ,Elegant ,Plain ,A Line ,Slight Stretch ,Flannelette ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean ",4.80,₪69.00
Maroon ,Elegant ,Plain ,A Line ,Slight Stretch ,Lace ,"94% Polyamide, 6% Elastane ","Hand wash,do not dry clean ",5.00,₪199.00
Coffee Brown ,Casual ,Plain ,Tee ,High Stretch ,Fabric ,"74% Polyester, 22% Rayon, 4% Elastane ",Machine wash or professional dry clean ,5.00,₪79.00
Green ,Boho ,Paisley ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.89,₪79.00
Black ,Elegant ,Plain ,Bodycon ,Slight Stretch ,Flannelette ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.94,₪49.00
Apricot ,Cute ,Plain ,Smock ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.93,₪99.00
Multicolor ,Party ,Floral ,A Line ,Slight Stretch ,Flannelette ,100% Polyester ,Machine wash or professional dry clean ,4.93,₪99.00
Teal Blue ,Elegant ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.92,₪69.00
Black ,Party ,Plain ,Fitted ,Slight Stretch ,Sequins ,100% Polyester ,"Hand wash,do not dry clean ",5.00,₪59.00
Black ,Boho ,Floral ,A Line ,Non-Stretch ,Chiffon ,100% Polyester ,"Machine wash, do not dry clean ",4.94,₪89.00
Pink ,Party ,Plain ,Cami ,Slight Stretch ,Fabric ,"83% Polyester, 12% Metallized Fibres, 5% Elastane ","Hand wash,do not dry clean ",4.90,₪39.00
Black ,Casual ,Plain ,A Line ,High Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.88,₪89.00
Brown ,Elegant ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.92,₪79.00
Baby Blue ,Elegant ,Plain ,Cami ,Slight Stretch ,Fabric ,"62% Polyester, 34% Cotton, 4% Elastane ",Machine wash or professional dry clean ,4.86,₪39.00
Multicolor ,Boho ,"Colorblock, Ditsy Floral ",Smock ,Non-Stretch ,Fabric ,"95% Cotton, 5% Spandex ",Machine wash or professional dry clean ,4.90,₪79.00
Silver ,Party ,Plain ,Bodycon ,Medium Stretch ,Sequins ,100% Polyester ,"Hand wash,do not dry clean ",4.86,₪219.00
Multicolor ,Casual ,Graphic ,Fitted ,Slight Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.85,₪47.00
Khaki ,Elegant ,Plain ,Bodycon ,Non-Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.79,₪79.00
Brown ,Casual ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.92,₪89.00
Dark Green ,Party ,Plain ,Fitted ,Medium Stretch ,Fabric ,100% Polyester ,"Hand wash,do not dry clean ",4.94,₪219.00
Black and White ,Elegant ,Leopard Print ,A Line ,High Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.89,₪69.00
Burnt Orange ,Party ,Plain ,Bodycon ,Slight Stretch ,Fabric ,100% Polyester ,"Hand wash,do not dry clean ",4.96,₪219.00
Baby Pink ,Party ,Plain ,Fitted ,Slight Stretch ,Fabric ,100% Polyester ,"Hand wash,do not dry clean ",5.00,₪229.00
Black ,Casual ,Plain ,Tee ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean ",4.80,₪49.00
Black ,Elegant ,Plain ,Fitted ,Medium Stretch ,Knitted Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.91,₪69.00
Coffee Brown ,Casual ,All Over Print ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.95,₪69.00
Black ,Elegant ,Plain ,Fitted ,Medium Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ","Hand wash,do not dry clean ",4.91,₪79.00
Black ,Sexy ,Plain ,Cami ,High Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.93,₪29.00
White ,Sexy ,Plain ,Cami ,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.94,₪69.00
Light Grey ,Casual ,Plain ,Bodycon ,High Stretch ,Fabric ,"95% Polyester, 5% Spandex ",Machine wash or professional dry clean ,4.81,₪59.00
Mauve Purple ,Casual ,Letter ,A Line ,High Stretch ,Knitted Fabric ,"97% Polyester, 3% Spandex ","Machine wash, do not dry clean ",4.92,₪63.00
Grey ,Elegant ,Plain ,Bodycon ,High Stretch ,Fabric ,"96% Polyester, 4% Elastane ",Machine wash or professional dry clean ,4.90,₪39.00
Black ,Elegant ,Plain ,Bodycon ,Slight Stretch ,Flannelette ,100% Polyester ,Machine wash or professional dry clean ,4.84,₪69.00
Teal Blue ,Casual ,Plain ,Shirt ,Non-Stretch ,Corduroy ,100% Polyester ,Machine wash or professional dry clean ,4.84,₪79.00
Dark Green ,Party ,Plain ,Bodycon ,Slight Stretch ,Fabric ,"95% Polyester, 5% Spandex ","Hand wash,do not dry clean ",4.89,₪219.00
Multicolor ,Boho ,All Over Print ,Smock ,Non-Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean,wash with the soft detergent ",3.88,₪69.00
Black ,Party ,Plain ,Bodycon ,High Stretch ,Sequins ,100% Polyester ,"Hand wash,do not dry clean ",4.94,₪95.00
Black ,Elegant ,Plain ,Bodycon ,Medium Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",4.91,₪49.00
Black ,Party ,Plain ,Bodycon ,Slight Stretch ,Metallic ,"60% Polyamide, 20% Elastane, 20% Metallized Fibres ",Machine wash or professional dry clean ,4.93,₪39.00
White ,Party ,Plain ,Fitted ,Slight Stretch ,Fabric ,"95% Polyester, 5% Spandex ",Machine wash or professional dry clean ,4.89,₪159.00
Multicolor ,Party ,Graphic ,Cami ,Slight Stretch ,Fabric ,"95% Polyester, 5% Spandex ",Machine wash or professional dry clean ,4.85,₪219.00
Black ,Casual ,Plain ,Pinafore ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.83,₪59.00
Dusty Pink ,Party ,Plain ,A Line ,Slight Stretch ,Fabric ,"95% Polyester, 5% Spandex ","Hand wash,do not dry clean ",5.00,₪169.00
Black ,Boho ,Ditsy Floral ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.89,₪59.00
Green ,Casual ,Plain ,Tee ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.83,₪39.00
White ,Elegant ,Plain ,Bodycon ,Non-Stretch ,Tweed ,100% Polyester ,Machine wash or professional dry clean ,4.93,₪79.00
Multicolor ,Boho ,Floral ,Fitted ,Slight Stretch ,Knitted Fabric ,"89% Polyester, 11% Elastane ",Machine wash or professional dry clean ,4.71,₪49.00
Black ,Elegant ,Plain ,Fitted ,Slight Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.85,₪49.00
Dusty Blue ,Casual ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.86,₪89.00
Multicolor ,Elegant ,Tie Dye ,Cami ,Medium Stretch ,Flannelette ,100% Polyester ,"Hand wash,do not dry clean ",4.85,₪69.00
Dusty Pink ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,"96% Polyester, 4% Elastane ",Machine wash or professional dry clean ,5.00,₪79.00
Green ,Elegant ,Zebra Stripe ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,0,₪59.00
Rust Brown ,Casual ,Plain ,Shirt ,Non-Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",4.00,₪79.00
Dark Green ,Party ,Plain ,A Line ,Medium Stretch ,Sequins ,100% Polyester ,"Hand wash,do not dry clean ",4.85,₪69.00
Camel ,Elegant ,Plain ,Shirt ,Non-Stretch ,Fabric ,"98% Polyester, 2% Elastane ",Machine wash or professional dry clean ,4.93,₪63.00
Dark Green ,"Modest, Elegant ",Floral ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.88,₪59.00
Mint Green ,Casual ,Plain ,Fit and Flare ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.91,₪49.00
Dark Green ,Casual ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,0,₪69.00
Multicolor ,Boho ,"Floral, All Over Print ",A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,"Machine wash, do not dry clean ",5.00,₪69.00
Multicolor ,Boho ,Floral ,A Line ,High Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.75,₪99.00
Navy Blue ,Elegant ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.95,₪49.00
Black ,Elegant ,Plain ,Shirt ,Non-Stretch ,Fabric ,100% Polyester ,"Hand wash,do not dry clean ",4.93,₪99.00
Black ,Party ,Plain ,A Line ,Slight Stretch ,Mesh Fabric ,100% Polyamide ,Machine wash or professional dry clean ,4.89,₪99.00
Black and White ,Elegant ,Houndstooth ,Bodycon ,Slight Stretch ,Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.90,₪49.00
Black ,Elegant ,Plain ,A Line ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0,₪59.00
Dark Green ,Casual ,Plain ,Shirt ,Non-Stretch ,Woven Fabric ,"96% Polyester, 4% Viscose ",Machine wash or professional dry clean ,0,₪79.00
Light Grey ,Casual ,Plain ,Fitted ,Medium Stretch ,Fabric ,"60% Polyester, 35% Viscose, 5% Spandex ",Machine wash or professional dry clean ,4.92,₪39.00
Apricot ,Elegant ,Plain ,Bodycon ,High Stretch ,Knitted Fabric ,"60% Polyester, 30% Viscose, 10% Elastane ","Hand wash,do not dry clean ",4.85,₪59.00
Black ,Party ,Plain ,Cami ,Medium Stretch ,Knitted Fabric ,100% Polyester ,"Hand wash,do not dry clean ",4.88,₪59.00
Navy Blue ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.00,₪79.00
Coffee Brown ,Sexy ,Plain ,Bodycon ,High Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.92,₪29.00
Grey ,Elegant ,Plain ,Bodycon ,Slight Stretch ,Knitted Fabric ,"90% Polyester, 10% Elastane ",Machine wash or professional dry clean ,4.91,₪39.00
Navy Blue ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Viscose ,Machine wash or professional dry clean ,4.85,₪79.00
Black ,Elegant ,Plain ,Bodycon ,Medium Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",4.91,₪49.00
Navy Blue ,Elegant ,Plain ,Fitted ,Slight Stretch ,Fabric ,"95% Polyester, 5% Spandex ",Machine wash or professional dry clean ,4.89,₪99.00
Dark Green ,Boho ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,"Hand wash,do not dry clean ",0,₪69.00
Multicolor ,Boho ,"Floral, All Over Print ",A Line ,Non-Stretch ,Woven Fabric ,100% Viscose ,Machine wash or professional dry clean ,0,₪69.00
Black ,Boho ,Ditsy Floral ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.90,₪79.00
Black ,Boho ,Floral ,A Line ,Non-Stretch ,Chiffon ,100% Polyester ,"Machine wash, do not dry clean ",4.94,₪89.00
Dusty Pink ,Party ,Plain ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.91,₪79.00
Dusty Pink ,Elegant ,Plain ,Fitted ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.68,₪49.00
Maroon ,Casual ,Plain ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.82,₪59.00
Coffee Brown ,Casual ,Plain ,Pinafore ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.94,₪49.00
Dark Green ,Elegant ,Plain ,Bodycon ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0,₪39.00
Olive Green ,Boho ,Ditsy Floral ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.93,₪79.00
Purple ,Elegant ,Plain ,A Line ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0,₪59.00
Black ,Casual ,Plain ,Fitted ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0,₪39.00
Black ,Elegant ,Plain ,Bodycon ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0,₪59.00
Black ,Casual ,Plain ,Bodycon ,Medium Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0,₪39.00
Black ,Boho ,Polka Dot ,A Line ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0,₪59.00
Black and White ,Casual ,All Over Print ,Shirt ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,0,₪59.00
Black ,Party ,Plain ,Bodycon ,Slight Stretch ,Fabric ,"92% Polyester, 8% Spandex ","Hand wash,do not dry clean ",0,₪219.00
Black ,Casual ,Ditsy Floral ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.00,₪49.00
Black ,Elegant ,Plain ,A Line ,Non-Stretch ,Chiffon ,100% Polyester ,Hand wash or professional dry clean ,5.00,₪99.00
Black ,Casual ,Plain ,Tee ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.71,₪49.00
Mauve Purple ,Casual ,Plain ,Tee ,Slight Stretch ,Knitted Fabric ,"55% Polyester, 43% Viscose, 2% Elastane ",Machine wash or professional dry clean ,4.95,₪69.00
Black ,Casual ,Plain ,Shirt ,Non-Stretch ,Fabric ,100% Polyamide ,Machine wash or professional dry clean ,4.78,₪79.00
Apricot ,Boho ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.91,₪69.00
Multicolor ,Elegant ,Leopard Print ,A Line ,Non-Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0,₪39.00
White ,Party ,Plain ,Bodycon ,Medium Stretch ,Fabric ,"95% Polyester, 5% Elastane ","Hand wash,do not dry clean ",0,₪109.00
Apricot ,Casual ,Plain ,A Line ,High Stretch ,Fabric ,"60% Polyester, 35% Viscose, 5% Elastane ",Hand wash or professional dry clean ,0,₪49.00
Black ,Casual ,Plain ,Fitted ,Slight Stretch ,Fabric ,"90% Polyester, 10% Elastane ",Machine wash or professional dry clean ,0,₪49.00
Apricot ,Cute ,Plain ,Smock ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.93,₪99.00
Black ,Casual ,Letter ,Tee ,Slight Stretch ,Knitted Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.91,₪59.00
Green ,Boho ,Paisley ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.89,₪79.00
Violet Purple ,Casual ,Colorblock ,A Line ,Non-Stretch ,Fabric ,"95% Polyester, 5% Spandex ",Machine wash or professional dry clean ,0,₪79.00
Black ,Party ,Plain ,Fit and Flare ,Non-Stretch ,Woven Fabric ,100% Polyamide ,Machine wash or professional dry clean ,4.91,₪49.00
Dark Green ,Party ,Plain ,Bodycon ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.90,₪129.00
Multicolor ,Boho ,Paisley ,A Line ,Non-Stretch ,Woven Fabric ,"99% Polyester, 1% Metallized Fibres ",Machine wash or professional dry clean ,5.00,₪89.00
Pink ,Elegant ,Plain ,A Line ,Non-Stretch ,Satin ,100% Polyester ,Machine wash or professional dry clean ,4.92,₪79.00
Burgundy ,Party ,Plain ,Fitted ,Non-Stretch ,Flannelette ,100% Polyester ,Machine wash or professional dry clean ,0,₪69.00
Multicolor ,Elegant ,Plaid ,Shirt ,Non-Stretch ,Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.90,₪99.00
Black ,Sexy ,Plain ,Fitted ,Non-Stretch ,Satin ,100% Polyester ,Machine wash or professional dry clean ,0,₪69.00
Black ,Casual ,Plain ,A Line ,High Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.88,₪89.00
Green ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.90,₪79.00
Pink ,Party ,Plain ,Cami ,Slight Stretch ,Fabric ,"83% Polyester, 12% Metallized Fibres, 5% Elastane ","Hand wash,do not dry clean ",4.90,₪39.00
Mint Green ,Vintage ,Plain ,A Line ,Slight Stretch ,Fabric ,"98% Polyester, 2% Elastane ",Machine wash or professional dry clean ,4.92,₪69.00
Multicolor ,Boho ,"Colorblock, Ditsy Floral ",Smock ,Non-Stretch ,Fabric ,"95% Cotton, 5% Spandex ",Machine wash or professional dry clean ,4.90,₪79.00
Dusty Blue ,Elegant ,Plain ,A Line ,Slight Stretch ,Knitted Fabric ,100% Polyester ,Machine wash or professional dry clean ,0,₪109.00
Dark Green ,Casual ,Plain ,Tee ,High Stretch ,Fabric ,"95% Cotton, 5% Elastane ",Machine wash or professional dry clean ,4.78,₪49.00
Black and White ,Casual ,Striped ,Shirt ,Slight Stretch ,Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,0,₪89.00
Black ,Boho ,Floral ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.90,₪109.00
Champagne ,Sexy ,Plain ,Cami ,Slight Stretch ,Satin ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.84,₪55.00
Multicolor ,Casual ,Plaid ,Shirt ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.88,₪69.00
Burgundy ,Casual ,Plain ,Pinafore ,Slight Stretch ,PU Leather ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,5.00,₪79.00
Black and White ,Elegant ,Leopard Print ,A Line ,High Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.89,₪69.00
White ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.92,₪119.00
Khaki ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,"95% Polyester, 5% Spandex ",Machine wash or professional dry clean ,4.89,₪69.00
White ,Elegant ,Plain ,Cami ,Non-Stretch ,Fabric ,100% Polyester ,Hand wash or professional dry clean ,4.91,₪109.00
Multicolor ,Boho ,Ditsy Floral ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.91,₪59.00
Black and White ,Casual ,Houndstooth ,Fitted ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.97,₪89.00
Khaki ,Elegant ,Plain ,Bodycon ,Slight Stretch ,Knitted Fabric ,"67.5% Polyester, 28.5% Rayon, 4% Silk ","Machine wash, do not dry clean ",4.90,₪29.00
White ,Boho ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,0,₪79.00
Black ,Boho ,Floral ,A Line ,Non-Stretch ,Fabric ,100% Cotton ,Machine wash or professional dry clean ,4.77,₪59.00
Green ,Elegant ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,"Machine wash, do not dry clean ",0,₪69.00
White ,Party ,Plain ,Fitted ,Slight Stretch ,Fabric ,"95% Polyester, 5% Spandex ",Machine wash or professional dry clean ,4.89,₪159.00
Rust Brown ,Elegant ,Plain ,A Line ,High Stretch ,Fabric ,100% Polyester ,"Hand wash,do not dry clean ",5.00,₪129.00
White ,Elegant ,Plain ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",5.00,₪129.00
Multicolor ,Boho ,Floral ,A Line ,Non-Stretch ,Fabric ,100% Viscose ,"Machine wash, do not dry clean ",4.88,₪79.00
Black ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.50,₪79.00
Multicolor ,Casual ,Plaid ,Shirt ,Non-Stretch ,Wool-Like Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.91,₪69.00
Black ,Sexy ,Plain ,Cami ,Slight Stretch ,Mesh Fabric ,"94% Polyamide, 6% Elastane ",Hand wash or professional dry clean ,4.93,₪59.00
Black ,Elegant ,Plain ,Pinafore ,High Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.90,₪39.00
Chocolate Brown ,Party ,Plain ,Tank ,Slight Stretch ,PU Leather ,100% Polyester ,"Hand wash,do not dry clean ",4.91,₪79.00
Black ,Party ,Plain ,Fitted ,Slight Stretch ,Flannelette ,"86% Polyester, 8% Elastane, 6% Metallized Fibres ","Machine wash, do not dry clean ",4.97,₪89.00
Lilac Purple ,Sexy ,Plain ,Cami ,Slight Stretch ,Fabric ,"62% Polyester, 34% Cotton, 4% Elastane ",Machine wash or professional dry clean ,4.89,₪29.00
Grey ,Casual ,Plain ,Shirt ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.50,₪59.00
Apricot ,Casual ,Graphic ,Fitted ,Slight Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.85,₪59.00
Black and White ,Elegant ,Houndstooth ,A Line ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Spandex ",Machine wash or professional dry clean ,4.94,₪39.00
Khaki ,Elegant ,Plain ,Tank ,Slight Stretch ,Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.73,₪49.00
Multicolor ,Casual ,Patchwork ,Shirt ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.80,₪79.00
Black ,Casual ,Plain ,Fitted ,Medium Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0,₪49.00
Dusty Pink ,Elegant ,Plain ,Fitted ,Slight Stretch ,Fabric ,"95% Polyester, 5% Spandex ",Machine wash or professional dry clean ,4.95,₪69.00
Black ,Sexy ,Plain ,Bodycon ,High Stretch ,Fabric ,100% Nylon ,Machine wash or professional dry clean ,4.96,₪49.00
Black ,Party ,Plain ,Fit and Flare ,Non-Stretch ,Woven Fabric ,100% Polyamide ,Machine wash or professional dry clean ,4.91,₪49.00
White ,Casual ,Plain ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,0,₪69.00
Red ,Casual ,Plain ,Fitted ,Medium Stretch ,Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.50,₪39.00
