Color:,Style:,Pattern Type:,Type:,Fabric:,Material:,Composition:,Care Instructions:,rating,price,category
Grey ,Elegant ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.97,89.0,dresses
Dark Green ,Elegant ,Plain ,A Line ,Slight Stretch ,Fabric ,"95% Polyester, 5% Spandex ","Hand wash,do not dry clean ",5.0,169.0,dresses
Black ,Sexy ,Plain ,Cami ,Slight Stretch ,Fabric ,"95.7% Polyester, 4.3% Elastane ",Machine wash or professional dry clean ,5.0,169.0,dresses
Baby Blue ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,"98% Polyester, 2% Elastane ",Machine wash or professional dry clean ,4.97,89.0,dresses
Multicolor ,Elegant ,All Over Print ,Shirt ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,39.0,dresses
Grey ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.89,69.0,dresses
Black and White ,Elegant ,Houndstooth ,A Line ,Slight Stretch ,Knitted Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.88,49.0,dresses
Purple ,Casual ,Plain ,Tunic ,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.91,89.0,dresses
Blue ,Boho ,Ditsy Floral ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.85,49.0,dresses
Champagne ,Party ,Plain ,Fitted ,Slight Stretch ,Sequins ,100% Polyester ,"Hand wash,do not dry clean ",0.0,119.0,dresses
Baby Blue ,Elegant ,Plain ,Cami ,Slight Stretch ,Fabric ,"62% Polyester, 34% Cotton, 4% Elastane ",Machine wash or professional dry clean ,4.86,39.0,dresses
Black ,Elegant ,Plain ,Fitted ,High Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean ",4.97,89.0,dresses
Mocha Brown ,Elegant ,Plain ,A Line ,Slight Stretch ,Fabric ,"60% Polyester, 35% Viscose, 5% Elastane ",Machine wash or professional dry clean ,4.89,49.0,dresses
Black ,Elegant ,All Over Print ,Fitted ,Slight Stretch ,Metallic ,"86% Polyester, 8% Elastane, 6% Metallized Fibres ",Machine wash or professional dry clean ,4.92,89.0,dresses
Black ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.92,89.0,dresses
Brown ,Elegant ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.92,79.0,dresses
Black ,Casual ,Plain ,Cami ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.85,49.0,dresses
Black and White ,Elegant ,Zebra Stripe ,A Line ,Non-Stretch ,Woven Fabric ,"95% Polyester, 5% Spandex ",Machine wash or professional dry clean ,4.93,69.0,dresses
Black ,Elegant ,Plain ,Bodycon ,High Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.87,39.0,dresses
Coral Pink ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Hand wash or professional dry clean ,4.98,139.0,dresses
Black ,Casual ,Plain ,Cami ,Slight Stretch ,Fabric ,100% Viscose ,Machine wash or professional dry clean ,4.88,29.0,dresses
Army Green ,Elegant ,Letter ,A Line ,Medium Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,5.0,69.0,dresses
Black ,Sexy ,Heart ,A Line ,Non-Stretch ,Mesh Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,79.0,dresses
Chocolate Brown ,Elegant ,Plain ,Shirt ,,Satin ,,,5.0,129.0,dresses
Black ,Elegant ,Plain ,Fitted ,Non-Stretch ,Tweed ,100% Polyester ,Machine wash or professional dry clean ,4.87,69.0,dresses
Multicolor ,Boho ,"Floral, All Over Print ",A Line ,Non-Stretch ,Woven Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,5.0,69.0,dresses
Khaki ,Elegant ,Floral ,A Line ,Non-Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.7,79.0,dresses
Black ,Elegant ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.89,79.0,dresses
Khaki ,Casual ,Plain ,A Line ,Medium Stretch ,Fabric ,"64% Polyester, 33% Cotton, 3% Elastane ",Machine wash or professional dry clean ,4.69,49.0,dresses
Black ,Party ,Plain ,A Line ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ","Hand wash,do not dry clean ",4.92,219.0,dresses
Multicolor ,Casual ,Plaid ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Hand wash or professional dry clean ,4.83,69.0,dresses
Green ,Casual ,Plain ,Fitted ,Medium Stretch ,Fabric ,"60% Polyester, 35% Viscose, 5% Elastane ",Hand wash or professional dry clean ,4.73,49.0,dresses
Black and White ,Casual ,All Over Print ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.9,49.0,dresses
Black ,Casual ,Geometric ,Smock ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.93,69.0,dresses
Blue ,Elegant ,Plain ,Fitted ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.82,79.0,dresses
Black ,Elegant ,Plain ,Fitted ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,5.0,49.0,dresses
Black ,Elegant ,Plain ,Bodycon ,Medium Stretch ,Fabric ,"90% Polyester, 10% Elastane ",Hand wash or professional dry clean ,4.77,49.0,dresses
Multicolor ,Boho ,Floral ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.87,59.0,dresses
Black ,Sexy ,Plain ,Cami ,High Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.93,29.0,dresses
Army Green ,Casual ,Plain ,Tee ,High Stretch ,Fabric ,"96% Polyester, 4% Elastane ",Machine wash or professional dry clean ,4.73,29.0,dresses
White ,Sexy ,Plain ,Cami ,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.94,69.0,dresses
Purple ,Party ,Plain ,A Line ,Non-Stretch ,Satin ,100% Polyester ,Hand wash or professional dry clean ,4.91,99.0,dresses
Coffee Brown ,Casual ,Plain ,Shirt ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.88,79.0,dresses
Multicolor ,Elegant ,Floral ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.88,69.0,dresses
Rust Brown ,Casual ,Plain ,Tee ,Slight Stretch ,Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.9,39.0,dresses
Black ,Party ,Plain ,A Line ,Slight Stretch ,Mesh Fabric ,100% Polyamide ,Machine wash or professional dry clean ,4.89,99.0,dresses
Dusty Blue ,Casual ,All Over Print ,Tunic ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.97,39.0,dresses
Navy Blue ,Casual ,Plain ,Shirt ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.9,69.0,dresses
Black ,Elegant ,Plain ,Bodycon ,Non-Stretch ,Fabric ,"95% Viscose, 5% Elastane ","Machine wash, do not dry clean ",4.92,49.0,dresses
Grey ,Party ,Plain ,A Line ,Slight Stretch ,Flannelette ,"95% Polyester, 5% Elastane ","Hand wash,do not dry clean ",4.92,69.0,dresses
White ,Casual ,Plain ,A Line ,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Hand wash or professional dry clean ,4.9,69.0,dresses
Hot Pink ,Cute ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0.0,49.0,dresses
Multicolor ,Casual ,All Over Print ,Shirt ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,59.0,dresses
Multicolor ,Casual ,Graphic ,Fitted ,Slight Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.85,47.0,dresses
Black ,Elegant ,Plain ,A Line ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean ",4.91,59.0,dresses
Multicolor ,Boho ,Ditsy Floral ,Smock ,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.85,49.0,dresses
Black ,Elegant ,Plain ,Shirt ,Slight Stretch ,Woven Fabric ,"94% Polyester, 6% Elastane ",Machine wash or professional dry clean ,4.86,89.0,dresses
Multicolor ,Elegant ,Floral ,A Line ,Slight Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean ",4.92,69.0,dresses
Black ,Sexy ,Plain ,Bodycon ,Slight Stretch ,Fabric ,"90% Polyester, 10% Elastane ",Machine wash or professional dry clean ,4.92,39.0,dresses
Multicolor ,Casual ,Plaid ,Pinafore ,Non-Stretch ,Wool-Like Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.82,31.0,dresses
Olive Green ,Boho ,Ditsy Floral ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.93,79.0,dresses
Black and White ,Elegant ,Houndstooth ,A Line ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Spandex ",Machine wash or professional dry clean ,4.94,39.0,dresses
Apricot ,Casual ,Plain ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.97,49.0,dresses
Black ,Elegant ,Plain ,Fit and Flare ,High Stretch ,Fabric ,"95% Polyester, 5% Spandex ",Machine wash or professional dry clean ,4.88,49.0,dresses
Grey ,Elegant ,Plain ,Bodycon ,Medium Stretch ,Fabric ,"90% Polyester, 10% Elastane ",Machine wash or professional dry clean ,4.87,49.0,dresses
Maroon ,Casual ,Plain ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.82,59.0,dresses
Black ,Elegant ,Plain ,Fitted ,Slight Stretch ,Woven Fabric ,"95% Polyester, 5% Spandex ",Hand wash or professional dry clean ,4.88,79.0,dresses
Dark Green ,Elegant ,Plain ,Bodycon ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.91,39.0,dresses
Multicolor ,Elegant ,Floral ,A Line ,Slight Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,89.0,dresses
Black ,Elegant ,Heart ,Shirt ,Non-Stretch ,Woven Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,0.0,59.0,dresses
Purple ,Party ,Plain ,A Line ,Non-Stretch ,Chiffon ,100% Polyester ,Hand wash or professional dry clean ,4.93,129.0,dresses
Army Green ,Boho ,Plain ,Cami ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.93,49.0,dresses
Teal Blue ,Elegant ,Plain ,Fitted ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,59.0,dresses
Dusty Pink ,Party ,Plain ,A Line ,Slight Stretch ,Fabric ,"98% Polyester, 2% Spandex ",Machine wash or professional dry clean ,4.83,119.0,dresses
Black ,Boho ,Floral ,Tunic ,Non-Stretch ,Fabric ,100% Viscose ,Machine wash or professional dry clean ,4.92,29.0,dresses
Dark Grey ,Casual ,Colorblock ,Shirt ,Medium Stretch ,Rib knit ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.95,99.0,dresses
Multicolor ,Boho ,Ditsy Floral ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.89,59.0,dresses
Redwood ,Casual ,Plain ,Tee ,Medium Stretch ,Fabric ,"60% Polyester, 35% Viscose, 5% Elastane ",Hand wash or professional dry clean ,5.0,49.0,dresses
Blue ,Elegant ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,109.0,dresses
Black ,Elegant ,Plain ,Fitted ,Medium Stretch ,Fabric ,"90% Polyester, 10% Elastane ","Hand wash,do not dry clean ",4.75,109.0,dresses
Dusty Blue ,Elegant ,Plain ,Smock ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.91,69.0,dresses
Multicolor ,Boho ,"Floral, All Over Print ",Smock ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.9,55.0,dresses
Black ,Boho ,"Floral, All Over Print ",A Line ,Non-Stretch ,Fabric ,"97% Polyester, 3% Spandex ",Machine wash or professional dry clean ,5.0,69.0,dresses
Navy Blue ,Party ,Plain ,A Line ,Slight Stretch ,Chiffon ,100% Polyester ,Machine wash or professional dry clean ,4.9,139.0,dresses
Multicolor ,Elegant ,Polka Dot ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.89,59.0,dresses
Multicolor ,Sexy ,"Letter, Graphic ",Cami ,Slight Stretch ,Knitted Fabric ,"92% Polyester, 8% Elastane ",Machine wash or professional dry clean ,0.0,29.0,dresses
Black ,Boho ,Ditsy Floral ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.86,69.0,dresses
Khaki ,Boho ,Floral ,A Line ,Non-Stretch ,Fabric ,100% Viscose ,Machine wash or professional dry clean ,4.99,89.0,dresses
Black ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",4.87,89.0,dresses
White ,,,,,,,,5.0,23.0,dresses
Baby Pink ,,,,,,,,4.9,21.0,dresses
Multicolor ,,,,,,,,5.0,180.0,dresses
Silver ,,,,,Zinc Alloy ,,,0.0,9.0,dresses
Grey ,,Animal ,PU Phone Cases ,,PU Leather ,,,4.97,9.0,dresses
Black ,,Plain ,Babydolls ,High Stretch ,Mesh Fabric ,"93.4% Polyamide, 6.6% Elastane ","Hand wash,do not dry clean ",5.0,9.0,dresses
Black ,,,,,Fabric ,,,4.99,9.0,dresses
Multicolor ,,Floral ,Phone Cases ,,TPU ,,,5.0,9.0,dresses
Beige ,Casual ,Plain ,Regular ,Non-Stretch ,Fabric ,100% Polyester ,Hand wash or professional dry clean ,4.89,99.0,dresses
White ,,,Car Electrical Appliances ,,ABS ,,,4.84,29.0,dresses
You're Peachy ,,,Powder Blush ,,,,,4.96,16.0,dresses
Multicolor ,,Plants ,Color Nails ,,,,,4.95,9.0,dresses
White ,,,Bathroom Storage Hooks ,,Iron ,,,4.93,29.0,dresses
Multicolor ,Casual ,Plain ,Medium Hair Claw ,,Plastic ,,,5.0,9.0,dresses
Dark Grey ,Casual ,Plain ,,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.62,29.0,dresses
Blue ,,,,,Tempered Glass ,,,4.83,19.0,dresses
Green ,,,Dumpling Tools ,,PP ,,,4.92,29.0,dresses
Multicolor ,,Plain ,Phone Cases ,,TPU ,,,4.94,9.0,dresses
Multicolor ,,Letter ,Color Nails ,,,,,4.98,9.0,dresses
Grey ,,,Jewelry Display Holders ,,MDF ,,,4.9,9.0,dresses
Black ,,,,,Zinc Alloy ,,,4.93,9.0,dresses
White ,,,Bathroom Storage & Organizers ,,Iron ,,,4.84,29.0,dresses
Beige ,,,Jewelry Display Holders ,,MDF ,,,4.98,9.0,dresses
Clear ,,Heart ,Phone Cases ,,TPU ,,,4.95,9.0,dresses
Grey ,,,,,Polyester ,100% Polyester ,,4.83,9.0,dresses
Mauve Purple ,Sexy ,Plain ,Cami ,Slight Stretch ,Metallic ,100% Polyester ,"Hand wash,do not dry clean ",4.92,19.0,dresses
Black ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",4.86,89.0,dresses
Black and White ,Elegant ,Houndstooth ,A Line ,Slight Stretch ,Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.96,49.0,dresses
Black ,Casual ,Plain ,Cami ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.84,29.0,dresses
Dark Green ,Casual ,Plain ,Shirt ,Non-Stretch ,Corduroy ,100% Polyester ,Machine wash or professional dry clean ,4.84,63.0,dresses
Multicolor ,Boho ,Ditsy Floral ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,69.0,dresses
White ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Hand wash or professional dry clean ,4.92,89.0,dresses
Black and White ,Casual ,Striped ,Tee ,Slight Stretch ,Fabric ,100% Cotton ,Hand wash or professional dry clean ,4.92,59.0,dresses
Multicolor ,Casual ,Graphic ,A Line ,Medium Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.85,69.0,dresses
Blue ,Casual ,Plain ,Tee ,Medium Stretch ,Fabric ,"96% Polyester, 4% Spandex ",Machine wash or professional dry clean ,4.82,39.0,dresses
Dark Grey ,Casual ,Plain ,Tee ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0.0,69.0,dresses
Black ,Casual ,Plain ,Cami ,Slight Stretch ,Fabric ,"95% Viscose, 5% Elastane ",Machine wash or professional dry clean ,4.89,49.0,dresses
Brown ,Casual ,Plain ,Pinafore ,Non-Stretch ,Corduroy ,100% Polyester ,Machine wash or professional dry clean ,4.84,59.0,dresses
Apricot ,Casual ,Plain ,Tee ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean ",4.85,59.0,dresses
Black ,Elegant ,Plain ,A Line ,Slight Stretch ,Knitted Fabric ,"89% Polyester, 11% Elastane ","Machine wash, do not dry clean ",4.84,59.0,dresses
Navy Blue ,Party ,Floral ,A Line ,Slight Stretch ,Knitted Fabric ,"89% Polyester, 11% Elastane ","Machine wash, do not dry clean ",4.84,69.0,dresses
Dark Green ,Elegant ,Plain ,A Line ,High Stretch ,Knitted Fabric ,"92% Polyester, 8% Elastane ","Machine wash, do not dry clean ",5.0,99.0,dresses
Teal Blue ,Casual ,Plain ,Fitted ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.89,29.0,dresses
Black and White ,Elegant ,Houndstooth ,A Line ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.95,39.0,dresses
Dark Green ,Party ,Plain ,A Line ,Medium Stretch ,Knitted Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.94,63.0,dresses
Dusty Pink ,Elegant ,Plain ,A Line ,Non-Stretch ,Mesh Fabric ,100% Polyester ,"Hand wash,do not dry clean ",4.94,139.0,dresses
Black ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",4.71,69.0,dresses
Light Grey ,Casual ,Plain ,A Line ,Slight Stretch ,Fabric ,"60% Polyester, 35% Viscose, 5% Elastane ",Machine wash or professional dry clean ,4.88,39.0,dresses
Apricot ,Elegant ,Plain ,A Line ,Slight Stretch ,Satin ,100% Polyester ,Hand wash or professional dry clean ,0.0,79.0,dresses
Black ,Elegant ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,79.0,dresses
Apricot ,Elegant ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.83,69.0,dresses
White ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.95,69.0,dresses
Black ,Party ,Plain ,A Line ,High Stretch ,Flannelette ,"95% Polyester, 5% Elastane ",Hand wash or professional dry clean ,4.89,109.0,dresses
Black ,Elegant ,Plain ,Bodycon ,Medium Stretch ,Fabric ,"96% Polyester, 4% Elastane ",Hand wash or professional dry clean ,4.77,29.0,dresses
Black and White ,Elegant ,Plaid ,Pinafore ,Non-Stretch ,Tweed ,100% Polyester ,"Hand wash,do not dry clean ",5.0,89.0,dresses
Multicolor ,Casual ,Leopard Print ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,"Hand wash,do not dry clean ",4.9,59.0,dresses
Apricot ,Casual ,Plain ,Bodycon ,Medium Stretch ,Fabric ,"67% Polyester, 29% Viscose, 4% Elastane ",Hand wash or professional dry clean ,4.92,39.0,dresses
Black ,Casual ,Plain ,Pinafore ,Non-Stretch ,Corduroy ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.85,49.0,dresses
Brown ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.83,59.0,dresses
Brown ,Casual ,Plain ,A Line ,Non-Stretch ,Corduroy ,"97% Polyester, 3% Elastane ",Hand wash or professional dry clean ,4.89,79.0,dresses
White ,Elegant ,Plain ,Bodycon ,High Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ","Hand wash,do not dry clean ",0.0,69.0,dresses
Beige ,Casual ,Plain ,Tank ,Slight Stretch ,Fabric ,"96% Polyester, 4% Elastane ",Machine wash or professional dry clean ,4.69,69.0,dresses
Mocha Brown ,Casual ,Plain ,Tee ,Slight Stretch ,Fabric ,"75% Polyester, 20% Viscose, 5% Elastane ",Machine wash or professional dry clean ,4.94,63.0,dresses
Green ,Elegant ,Plain ,A Line ,Medium Stretch ,Flannelette ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.93,79.0,dresses
Multicolor ,Boho ,Paisley ,A Line ,Slight Stretch ,Composite Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.88,59.0,dresses
Multicolor ,Casual ,Chevron ,A Line ,Slight Stretch ,Knitted Fabric ,"96% Polyester, 4% Elastane ",Machine wash or professional dry clean ,4.91,59.0,dresses
Black ,Elegant ,Plaid ,A Line ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ","Hand wash,do not dry clean ",5.0,79.0,dresses
Black ,Casual ,Plain ,A Line ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,5.0,99.0,dresses
Dark Green ,Casual ,Plain ,Shirt ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.93,89.0,dresses
Green ,Casual ,Plain ,Tee ,Medium Stretch ,Knitted Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.86,69.0,dresses
Teal Blue ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.98,79.0,dresses
Brown ,Casual ,Plain ,Shirt ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.89,49.0,dresses
