Color,Style,Pattern Type,Type,Fabric,Material,Care Instructions,rating,price,category,Polyester,Elastane,Viscose,Spandex,Cotton,Metallized Fibres,Polyamide,Rayon,Silk,Nylon,Cashmere,Linen,Polyurethane
Black ,Party ,Plain ,A Line ,Slight Stretch ,Sequins ,"Hand wash,do not dry clean ",0.0,69.0,dresses,93.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dark Green ,Casual ,Plain ,Tunic ,Non-Stretch ,Woven Fabric ,Machine wash or professional dry clean ,0.0,69.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Casual ,Plain ,A Line ,Non-Stretch ,Fabric ,Machine wash or professional dry clean ,0.0,59.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White ,Casual ,Plain ,A Line ,Non-Stretch ,Fabric ,Machine wash or professional dry clean ,0.0,89.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apricot ,Casual ,Plain ,A Line ,Medium Stretch ,Fabric ,Machine wash or professional dry clean ,0.0,49.0,dresses,96.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multicolor ,Boho ,Floral ,A Line ,Non-Stretch ,Fabric ,Machine wash or professional dry clean ,0.0,59.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multicolor ,Boho ,Floral ,Smock ,Non-Stretch ,Fabric ,"Machine wash, do not dry clean,wash with the soft detergent ",0.0,69.0,dresses,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Elegant ,Plain ,Smock ,Non-Stretch ,Woven Fabric ,Machine wash or professional dry clean ,5.0,29.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pink ,Cute ,Plain ,A Line ,Slight Stretch ,Fabric ,Machine wash or professional dry clean ,4.88,49.0,dresses,95.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Army Green ,Boho ,Plain ,A Line ,Non-Stretch ,Fabric ,Machine wash or professional dry clean ,4.77,59.0,dresses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Rust Brown ,Elegant ,Colorblock ,Bodycon ,Slight Stretch ,Fabric ,Machine wash or professional dry clean ,5.0,29.0,dresses,0.0,4.5,95.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blue ,Boho ,"Floral, All Over Print ",A Line ,Non-Stretch ,Woven Fabric ,Machine wash or professional dry clean ,5.0,79.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multicolor ,Boho ,Random Print ,A Line ,Non-Stretch ,Fabric ,Hand wash or professional dry clean ,0.0,129.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khaki ,Casual ,Plain ,Tunic ,Non-Stretch ,Fabric ,Machine wash or professional dry clean ,0.0,24.14,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dark Green ,Party ,Plain ,Bodycon ,Non-Stretch ,Sequins ,"Hand wash,do not dry clean ",0.0,49.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White ,Elegant ,Striped ,Bodycon ,Medium Stretch ,Knitted Fabric ,Machine wash or professional dry clean ,5.0,59.0,dresses,95.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Army Green ,Casual ,All Over Print ,A Line ,Slight Stretch ,Woven Fabric ,"Machine wash, do not dry clean,wash with the soft detergent ",4.78,69.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burgundy ,Casual ,Plain ,A Line ,Non-Stretch ,Fabric ,Machine wash or professional dry clean ,4.8,79.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mint Green ,Party ,Plain ,Bodycon ,Medium Stretch ,Fabric ,"Hand wash,do not dry clean ",5.0,99.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dark Green ,Elegant ,Plain ,Bodycon ,Medium Stretch ,Flannelette ,Machine wash or professional dry clean ,4.86,55.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multicolor ,Boho ,"Floral, All Over Print ",A Line ,Non-Stretch ,Fabric ,"Machine wash, do not dry clean ",4.72,69.0,dresses,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blue ,Party ,Plain ,A Line ,Slight Stretch ,Fabric ,"Hand wash,do not dry clean ",4.9,79.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brown ,Party ,Plain ,Cami ,Slight Stretch ,Satin ,Machine wash or professional dry clean ,4.94,79.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Elegant ,Plain ,Bodycon ,High Stretch ,Knitted Fabric ,"Hand wash,do not dry clean ",5.0,29.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Sexy ,Plain ,Bodycon ,High Stretch ,Fabric ,Hand wash or professional dry clean ,4.91,29.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White ,Boho ,Striped ,A Line ,Non-Stretch ,Fabric ,Machine wash or professional dry clean ,0.0,79.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Elegant ,Plain ,Fitted ,Medium Stretch ,Knitted Fabric ,"Hand wash,do not dry clean ",5.0,69.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White ,Casual ,Plain ,A Line ,Non-Stretch ,Fabric ,Machine wash or professional dry clean ,0.0,79.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apricot ,Elegant ,Plain ,Bodycon ,Medium Stretch ,Rib knit ,Machine wash or professional dry clean ,0.0,49.0,dresses,75.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Elegant ,Plain ,Tunic ,Non-Stretch ,Fabric ,Hand wash or professional dry clean ,0.0,39.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Navy Blue ,Casual ,Plain ,A Line ,Non-Stretch ,Fabric ,Machine wash or professional dry clean ,5.0,59.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White ,Party ,Plain ,Bodycon ,Slight Stretch ,Knitted Fabric ,Machine wash or professional dry clean ,0.0,89.0,dresses,97.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Boho ,Ditsy Floral ,A Line ,Non-Stretch ,Fabric ,Machine wash or professional dry clean ,0.0,49.0,dresses,98.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burgundy ,Elegant ,Plain ,A Line ,Medium Stretch ,Fabric ,Machine wash or professional dry clean ,0.0,69.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dusty Pink ,Casual ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,Machine wash or professional dry clean ,4.82,79.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Navy Blue ,Elegant ,Plain ,A Line ,Medium Stretch ,Fabric ,"Hand wash,do not dry clean ",5.0,169.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Navy Blue ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,Machine wash or professional dry clean ,5.0,59.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Boho ,Plain ,A Line ,Non-Stretch ,Fabric ,Machine wash or professional dry clean ,5.0,79.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orange ,Boho ,Floral ,A Line ,Non-Stretch ,Woven Fabric ,Machine wash or professional dry clean ,4.8,109.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Sexy ,Plain ,Bodycon ,High Stretch ,Fabric ,Machine wash or professional dry clean ,4.99,39.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black and White ,Party ,Houndstooth ,Bodycon ,Slight Stretch ,Fabric ,Machine wash or professional dry clean ,4.94,79.0,dresses,97.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Sexy ,Plain ,Fitted ,Medium Stretch ,Knitted Fabric ,Machine wash or professional dry clean ,0.0,29.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black and White ,Elegant ,Plaid ,Bodycon ,Slight Stretch ,Fabric ,Machine wash or professional dry clean ,4.96,29.0,dresses,97.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apricot ,Boho ,"Floral, All Over Print ",A Line ,Non-Stretch ,Woven Fabric ,Machine wash or professional dry clean ,5.0,59.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White ,Casual ,Plain ,A Line ,Non-Stretch ,Chiffon ,"Hand wash,do not dry clean ",0.0,69.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White ,Elegant ,Plain ,Bodycon ,High Stretch ,Knitted Fabric ,Hand wash or professional dry clean ,0.0,49.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pink ,Elegant ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,Machine wash or professional dry clean ,5.0,79.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multicolor ,Boho ,Random Print ,A Line ,Slight Stretch ,Fabric ,Hand wash or professional dry clean ,5.0,139.0,dresses,92.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dark Grey ,Elegant ,Plain ,Bodycon ,High Stretch ,Rib knit ,Machine wash or professional dry clean ,5.0,49.0,dresses,67.0,4.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0
Green ,Elegant ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,Machine wash or professional dry clean ,4.8,89.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Elegant ,All Over Print ,Fitted ,Non-Stretch ,Woven Fabric ,Machine wash or professional dry clean ,5.0,59.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Navy Blue ,Casual ,Plain ,A Line ,Slight Stretch ,Fabric ,Machine wash or professional dry clean ,5.0,49.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multicolor ,Casual ,Plaid ,Tank ,Non-Stretch ,Woven Fabric ,Machine wash or professional dry clean ,4.2,39.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauve Purple ,Elegant ,Plain ,Bodycon ,Slight Stretch ,Flannelette ,"Machine wash, do not dry clean ",4.97,49.0,dresses,97.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apricot ,Party ,Plain ,Bodycon ,Slight Stretch ,Fabric ,"Hand wash,do not dry clean ",5.0,239.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black and White ,Elegant ,Polka Dot ,Tunic ,Non-Stretch ,Fabric ,Machine wash or professional dry clean ,4.79,39.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Party ,Plain ,Fit and Flare ,Non-Stretch ,Organza ,Machine wash or professional dry clean ,4.73,79.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yellow ,Party ,Plain ,Cami ,Non-Stretch ,Fabric ,Machine wash or professional dry clean ,4.83,49.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Elegant ,Plain ,A Line ,High Stretch ,Fabric ,Hand wash or professional dry clean ,4.87,69.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black and White ,Boho ,Geometric ,A Line ,Non-Stretch ,Woven Fabric ,Machine wash or professional dry clean ,0.0,59.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pink ,Casual ,Plain ,A Line ,Non-Stretch ,Fabric ,Machine wash or professional dry clean ,0.0,69.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Casual ,Heart ,A Line ,Slight Stretch ,Woven Fabric ,"Machine wash, do not dry clean,wash with the soft detergent ",0.0,49.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Elegant ,Plain ,Tunic ,Non-Stretch ,Fabric ,Machine wash or professional dry clean ,5.0,39.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Elegant ,Plain ,Bodycon ,Medium Stretch ,Knitted Fabric ,Machine wash or professional dry clean ,4.33,39.0,dresses,60.0,5.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multicolor ,Casual ,"Geometric, All Over Print ",A Line ,Non-Stretch ,Fabric ,Machine wash or professional dry clean ,5.0,79.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Boho ,Floral ,A Line ,High Stretch ,Fabric ,Machine wash or professional dry clean ,4.93,99.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burgundy ,Elegant ,Plaid ,A Line ,Non-Stretch ,Woven Fabric ,Machine wash or professional dry clean ,5.0,59.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multicolor ,Boho ,All Over Print ,A Line ,Non-Stretch ,Woven Fabric ,Machine wash or professional dry clean ,4.93,59.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multicolor ,Elegant ,All Over Print ,Fitted ,Non-Stretch ,Satin ,Machine wash or professional dry clean ,5.0,59.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apricot ,Casual ,Plain ,Shirt ,Non-Stretch ,Corduroy ,Machine wash or professional dry clean ,5.0,79.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yellow ,Cute ,Floral ,Smock ,Non-Stretch ,Fabric ,Machine wash or professional dry clean ,4.92,89.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beige ,Boho ,Floral ,A Line ,Non-Stretch ,Fabric ,Machine wash or professional dry clean ,4.85,69.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burgundy ,Party ,All Over Print ,A Line ,Non-Stretch ,Mesh Fabric ,"Hand wash,do not dry clean ",4.93,47.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White ,Elegant ,Plain ,Fitted ,Non-Stretch ,Fabric ,Machine wash or professional dry clean ,4.94,69.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White ,Casual ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,Machine wash or professional dry clean ,0.0,99.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dusty Blue ,Elegant ,Plain ,Bodycon ,High Stretch ,Knitted Fabric ,Machine wash or professional dry clean ,0.0,39.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Boho ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,"Machine wash, do not dry clean ",0.0,69.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White ,Elegant ,Plain ,Cami ,Slight Stretch ,Fabric ,"Machine wash, do not dry clean ",0.0,119.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red ,Party ,Plain ,Bodycon ,Medium Stretch ,Fabric ,"Hand wash,do not dry clean ",4.96,129.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blue and White ,Casual ,Striped ,Shirt ,Non-Stretch ,Woven Fabric ,Machine wash or professional dry clean ,4.0,59.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red ,Elegant ,Floral ,Tunic ,Non-Stretch ,Woven Fabric ,Machine wash or professional dry clean ,4.57,39.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Navy Blue ,Boho ,Plain ,A Line ,Non-Stretch ,Fabric ,Machine wash or professional dry clean ,0.0,59.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blue ,Elegant ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,"Machine wash, do not dry clean ",4.95,79.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dark Green ,Casual ,Plain ,Tee ,Slight Stretch ,Fabric ,Machine wash or professional dry clean ,4.84,59.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White ,Elegant ,Plain ,Bodycon ,Non-Stretch ,Woven Fabric ,Machine wash or professional dry clean ,4.9,79.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multicolor ,Casual ,All Over Print ,A Line ,Non-Stretch ,Woven Fabric ,Machine wash or professional dry clean ,4.84,49.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multicolor ,Boho ,"Paisley, All Over Print ",A Line ,Slight Stretch ,Fabric ,Hand wash or professional dry clean ,0.0,189.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Navy Blue ,Elegant ,Plain ,Cami ,Medium Stretch ,Knitted Fabric ,Machine wash or professional dry clean ,0.0,59.0,dresses,0.0,3.0,0.0,0.0,0.0,6.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Elegant ,Plain ,A Line ,High Stretch ,Fabric ,Machine wash or professional dry clean ,4.89,49.0,dresses,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White ,Elegant ,Plain ,Bodycon ,High Stretch ,Knitted Fabric ,Machine wash or professional dry clean ,4.82,59.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White ,Casual ,Plain ,Tee ,High Stretch ,Fabric ,Hand wash or professional dry clean ,0.0,29.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mocha Brown ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,"Machine wash, do not dry clean ",4.91,79.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burgundy ,Party ,Plain ,Bodycon ,High Stretch ,Knitted Fabric ,"Hand wash,do not dry clean ",0.0,89.0,dresses,95.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coffee Brown ,Boho ,"Floral, All Over Print ",A Line ,Non-Stretch ,Woven Fabric ,Machine wash or professional dry clean ,4.87,59.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Green ,Boho ,Ditsy Floral ,A Line ,Non-Stretch ,Woven Fabric ,Machine wash or professional dry clean ,5.0,49.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Elegant ,Plain ,Bodycon ,Slight Stretch ,Knitted Fabric ,Hand wash or professional dry clean ,4.75,79.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Sexy ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,Machine wash or professional dry clean ,4.64,59.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Royal Blue ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,Machine wash or professional dry clean ,5.0,79.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multicolor ,Elegant ,Houndstooth ,Bodycon ,Slight Stretch ,Knitted Fabric ,Machine wash or professional dry clean ,4.97,19.0,dresses,97.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Elegant ,Plain ,Fitted ,Slight Stretch ,Knitted Fabric ,Machine wash or professional dry clean ,0.0,49.0,dresses,67.0,4.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dark Green ,Elegant ,Plain ,Fitted ,Non-Stretch ,Woven Fabric ,Hand wash or professional dry clean ,4.78,69.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blue ,Boho ,"Floral, Random Print ",A Line ,Slight Stretch ,Chiffon ,"Hand wash,do not dry clean ",4.9,179.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Elegant ,Colorblock ,Fitted ,High Stretch ,Fabric ,Hand wash or professional dry clean ,0.0,79.0,dresses,0.0,0.0,0.0,0.0,0.0,25.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Party ,Plain ,Bodycon ,Medium Stretch ,Fabric ,Machine wash or professional dry clean ,4.91,89.0,dresses,40.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red ,Elegant ,Plain ,Fitted ,Slight Stretch ,Knitted Fabric ,Machine wash or professional dry clean ,4.93,49.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dark Green ,Party ,Plain ,Fitted ,Medium Stretch ,Flannelette ,Hand wash or professional dry clean ,4.92,139.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Casual ,Polka Dot ,A Line ,Non-Stretch ,Fabric ,Hand wash or professional dry clean ,5.0,59.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multicolor ,Elegant ,"Colorblock, All Over Print ",Shirt ,Slight Stretch ,Fabric ,Machine wash or professional dry clean ,5.0,99.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dark Grey ,Party ,Snakeskin Print ,Bodycon ,Slight Stretch ,Fabric ,Machine wash or professional dry clean ,4.88,139.0,dresses,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White ,Casual ,Plain ,Cami ,Slight Stretch ,Flannelette ,Hand wash or professional dry clean ,4.9,19.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olive Green ,Party ,Plain ,Cami ,Non-Stretch ,Fabric ,Hand wash or professional dry clean ,4.83,49.0,dresses,97.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Party ,Crocodile Print ,Cami ,Slight Stretch ,Fabric ,Machine wash or professional dry clean ,4.91,19.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Casual ,Plain ,Cami ,Slight Stretch ,Knitted Fabric ,"Machine wash, do not dry clean ",0.0,59.0,dresses,97.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White ,Boho ,Floral ,Smock ,Non-Stretch ,Woven Fabric ,Machine wash or professional dry clean ,0.0,69.0,dresses,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Royal Blue ,Party ,Plain ,Bodycon ,High Stretch ,Glitter ,"Hand wash,do not dry clean ",4.9,49.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Elegant ,Plain ,Bodycon ,High Stretch ,Fabric ,Hand wash or professional dry clean ,4.9,29.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Navy Blue ,Elegant ,Plain ,Fit and Flare ,Slight Stretch ,Fabric ,"Hand wash,do not dry clean ",5.0,109.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black and White ,Elegant ,"Floral, All Over Print ",A Line ,Non-Stretch ,Woven Fabric ,"Machine wash, do not dry clean,wash with the soft detergent ",5.0,79.0,dresses,92.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
