Color,Style,Pattern Type,Type,Fabric,Material,Care Instructions,rating,price,category,Polyester,Elastane,Viscose,Spandex,Cotton,Metallized Fibres,Polyamide,Rayon,Silk,Nylon,Cashmere,Linen,Polyurethane
Black ,Casual ,Plain ,Cami ,Non-Stretch ,Fabric ,Machine wash or professional dry clean ,4.85,49.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black and White ,Elegant ,Zebra Stripe ,A Line ,Non-Stretch ,Woven Fabric ,Machine wash or professional dry clean ,4.93,69.0,dresses,95.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Elegant ,Plain ,Bodycon ,High Stretch ,Fabric ,Machine wash or professional dry clean ,4.87,39.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coral Pink ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,Hand wash or professional dry clean ,4.98,139.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Casual ,Plain ,Cami ,Slight Stretch ,Fabric ,Machine wash or professional dry clean ,4.88,29.0,dresses,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Army Green ,Elegant ,Letter ,A Line ,Medium Stretch ,Fabric ,Machine wash or professional dry clean ,5.0,69.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Sexy ,Heart ,A Line ,Non-Stretch ,Mesh Fabric ,Machine wash or professional dry clean ,0.0,79.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Elegant ,Plain ,Fitted ,Non-Stretch ,Tweed ,Machine wash or professional dry clean ,4.87,69.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multicolor ,Boho ,"Floral, All Over Print ",A Line ,Non-Stretch ,Woven Fabric ,Machine wash or professional dry clean ,5.0,69.0,dresses,97.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khaki ,Elegant ,Floral ,A Line ,Non-Stretch ,Woven Fabric ,Machine wash or professional dry clean ,4.7,79.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Elegant ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,Machine wash or professional dry clean ,4.89,79.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khaki ,Casual ,Plain ,A Line ,Medium Stretch ,Fabric ,Machine wash or professional dry clean ,4.69,49.0,dresses,64.0,3.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Party ,Plain ,A Line ,Slight Stretch ,Fabric ,"Hand wash,do not dry clean ",4.92,219.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multicolor ,Casual ,Plaid ,A Line ,Non-Stretch ,Fabric ,Hand wash or professional dry clean ,4.83,69.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Green ,Casual ,Plain ,Fitted ,Medium Stretch ,Fabric ,Hand wash or professional dry clean ,4.73,49.0,dresses,60.0,5.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black and White ,Casual ,All Over Print ,A Line ,Non-Stretch ,Fabric ,Machine wash or professional dry clean ,4.9,49.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Casual ,Geometric ,Smock ,Non-Stretch ,Fabric ,Machine wash or professional dry clean ,4.93,69.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blue ,Elegant ,Plain ,Fitted ,Non-Stretch ,Woven Fabric ,Machine wash or professional dry clean ,4.82,79.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Elegant ,Plain ,Fitted ,Slight Stretch ,Knitted Fabric ,Machine wash or professional dry clean ,5.0,49.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Elegant ,Plain ,Bodycon ,Medium Stretch ,Fabric ,Hand wash or professional dry clean ,4.77,49.0,dresses,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multicolor ,Boho ,Floral ,A Line ,Slight Stretch ,Fabric ,Machine wash or professional dry clean ,4.87,59.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Sexy ,Plain ,Cami ,High Stretch ,Fabric ,Machine wash or professional dry clean ,4.93,29.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Army Green ,Casual ,Plain ,Tee ,High Stretch ,Fabric ,Machine wash or professional dry clean ,4.73,29.0,dresses,96.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White ,Sexy ,Plain ,Cami ,Non-Stretch ,Fabric ,Machine wash or professional dry clean ,4.94,69.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Purple ,Party ,Plain ,A Line ,Non-Stretch ,Satin ,Hand wash or professional dry clean ,4.91,99.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coffee Brown ,Casual ,Plain ,Shirt ,Non-Stretch ,Woven Fabric ,Machine wash or professional dry clean ,4.88,79.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multicolor ,Elegant ,Floral ,A Line ,Non-Stretch ,Fabric ,Machine wash or professional dry clean ,4.88,69.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rust Brown ,Casual ,Plain ,Tee ,Slight Stretch ,Fabric ,Machine wash or professional dry clean ,4.9,39.0,dresses,97.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
